CloudletID,Status,DatacenterID,VMId,ExecutionTime,StartTime,FinishTime,WaitTime,AffectedByFailover
2,Success,3,2,15.0,0.1,15.1,0.0,Yes
8,Success,3,2,15.0,0.1,15.1,0.0,Yes
14,Success,3,2,15.0,0.1,15.1,0.0,Yes
3,Success,3,3,15.0,0.1,15.1,0.0,Yes
9,Success,3,3,15.0,0.1,15.1,0.0,Yes
15,Success,3,3,15.0,0.1,15.1,0.0,Yes
0,Success,3,0,20.0,0.1,20.1,0.0,Yes
6,Success,3,0,20.0,0.1,20.1,0.0,Yes
12,Success,3,0,20.0,0.1,20.1,0.0,Yes
18,Success,3,0,20.0,0.1,20.1,0.0,Yes
1,Success,3,1,20.0,0.1,20.1,0.0,Yes
7,Success,3,1,20.0,0.1,20.1,0.0,Yes
13,Success,3,1,20.0,0.1,20.1,0.0,Yes
19,Success,3,1,20.0,0.1,20.1,0.0,Yes
4,Success,3,4,60.0,0.1,60.1,0.0,Yes
10,Success,3,4,60.0,0.1,60.1,0.0,Yes
16,Success,3,4,60.0,0.1,60.1,0.0,Yes
5,Success,3,5,60.0,0.1,60.1,0.0,Yes
11,Success,3,5,60.0,0.1,60.1,0.0,Yes
17,Success,3,5,60.0,0.1,60.1,0.0,Yes
